date,subways_total_estimated_ridership,subways_%_of_comparable_pre_pandemic_day,buses_total_estimated_ridership,buses_%_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_%_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_%_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_%_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_%_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_%_of_comparable_pre_pandemic_day,weekday,is_weekend,total_ridership,pct_change_vs_2019,outlier
2021-05-14,2266974,40,1220112,54,104885,33,63394,22,22437,76,947064,98,3963,23,4,0,3681765,3756903.0612244895,0
2021-05-15,1637231,51,844096,60,63079,53,49401,33,13516,78,891574,93,11,0,5,1,2607334,2803584.946236559,0
2021-05-16,1201904,50,621750,65,49166,50,36227,35,11062,65,814177,96,14,0,6,1,1920123,2000128.125,0
2021-05-17,2022584,35,1157960,51,98458,31,52803,18,20779,71,810018,84,3990,23,0,0,3356574,3995921.428571428,0
2021-05-18,2150049,38,1215676,53,100430,31,54920,19,22367,76,838307,87,4321,25,1,0,3547763,4077888.5057471264,0
2021-05-19,2257549,39,1253578,55,104762,33,56851,20,23784,81,915644,95,4367,25,2,0,3700891,3895674.7368421047,0
2021-05-20,2269471,40,1243965,55,106604,33,57425,20,23659,80,931659,97,4441,26,3,0,3705565,3820170.1030927836,0
2021-05-21,2331876,41,1221591,54,110077,34,67283,24,22520,77,965528,100,4264,25,4,0,3757611,3757611.0,0
2021-05-22,1645268,51,839877,60,66293,56,51249,34,13397,77,911148,95,1787,37,5,1,2617871,2755653.6842105263,0
2021-05-23,1268928,53,645466,67,58005,59,40613,39,11765,69,885740,104,1358,39,6,1,2026135,1948206.7307692308,0
2021-05-24,2118877,37,1192453,52,105528,33,55179,19,21563,73,869940,90,4252,24,0,0,3497852,3886502.222222222,0
2021-05-25,2270945,40,1253998,55,110871,35,58737,21,22854,78,902577,94,4683,27,1,0,3722088,3959668.085106383,0
2021-05-26,2275882,40,1241052,55,114548,36,59613,21,23594,80,921084,96,4429,25,2,0,3719118,3874081.25,0
2021-05-27,2352019,41,1246269,55,117293,37,62852,22,23450,80,970920,101,4619,27,3,0,3806502,3768813.861386139,0
2021-05-28,2232599,39,1135369,50,112780,35,66048,23,21520,73,931760,97,4047,23,4,0,3572363,3682848.4536082475,0
2021-05-29,1370135,43,648192,46,54774,46,38894,26,11734,68,744860,78,1332,27,5,1,2125061,2724437.1794871795,0
2021-05-30,1065176,45,484864,50,43418,45,30072,29,10028,59,664029,78,956,27,6,1,1634514,2095530.7692307692,0
2021-05-31,1389651,58,702801,73,102292,105,43039,41,10380,61,756187,89,1651,47,0,0,2249814,2527880.8988764044,0
2021-06-01,2258831,40,1230127,57,114759,34,94923,32,22308,76,907698,92,4705,29,1,0,3725653,4049622.826086957,0
2021-06-02,2343745,42,1249102,58,112503,34,90821,31,24325,83,910385,93,4772,29,2,0,3825268,4113191.3978494625,0
2021-06-03,2233917,40,1143159,53,102751,31,84815,29,23026,79,895524,91,4419,27,3,0,3592087,3947348.3516483516,0
2021-06-04,2310032,41,1160335,54,104564,31,88908,30,22743,78,930743,95,4308,27,4,0,3690890,3885147.3684210526,0
2021-06-05,1792204,56,874545,62,72827,59,62687,40,14636,84,946758,96,0,0,5,1,2816899,2934269.791666667,0
2021-06-06,1363344,52,654780,60,61866,63,51469,47,12514,69,921829,100,0,0,6,1,2143973,2143973.0,0
2021-06-07,2223265,40,1200737,56,112097,34,89412,30,21511,73,897208,91,4348,27,0,0,3651370,4012494.5054945056,0
2021-06-08,2265591,40,1175335,55,108346,33,87986,30,22948,78,878376,89,4561,28,1,0,3664767,4117715.730337079,0
2021-06-09,2386026,43,1259005,59,107918,32,90641,31,23868,81,908563,92,4586,28,2,0,3872044,4208743.478260869,0
2021-06-10,2473818,44,1276901,59,113236,34,91323,31,23498,80,951274,97,4801,30,3,0,3983577,4106780.4123711344,0
2021-06-11,2468258,44,1221484,57,118259,36,94566,32,23324,80,968763,99,4371,27,4,0,3930262,3969961.616161616,0
2021-06-12,1775538,55,849178,61,68188,55,61468,39,14450,83,919318,93,0,0,5,1,2768822,2977227.9569892474,0
2021-06-13,1379959,53,647385,59,59186,60,51712,47,12047,67,887098,96,0,0,6,1,2150289,2239884.375,0
2021-06-14,2223186,40,1176722,55,115254,35,91064,31,21568,74,869235,88,4205,26,0,0,3631999,4127271.5909090913,0
2021-06-15,2469785,44,1277203,59,117580,35,96688,33,23460,80,917933,93,4925,30,1,0,3989641,4289936.559139785,0
2021-06-16,2519444,45,1288040,60,119205,36,94690,32,24788,85,945955,96,4745,29,2,0,4050912,4219700.0,0
2021-06-17,2552497,46,1281552,60,121580,37,98435,33,23292,80,973485,99,4989,31,3,0,4082345,4123580.808080808,0
2021-06-18,2572013,98,1235675,114,122848,125,104304,96,22491,124,989296,107,4549,117,4,0,4061880,3796149.5327102807,0
2021-06-19,1784312,55,841519,60,76508,62,66134,42,13949,80,952944,97,0,0,5,1,2782422,2868476.288659794,0
2021-06-20,1389352,53,652557,60,76969,78,60876,56,13189,73,951631,103,0,0,6,1,2192943,2129070.873786408,0
2021-06-21,2264368,40,1191844,55,123918,37,95740,32,20512,70,926300,94,4601,28,0,0,3700983,3937215.957446808,0
2021-06-22,2354873,42,1172110,55,116165,35,97637,33,22293,76,896868,91,4648,29,1,0,3767726,4140358.241758242,0
2021-06-23,2547416,45,1264095,59,121867,37,101864,34,24223,83,946870,96,5027,31,2,0,4064492,4233845.833333334,0
2021-06-24,2552639,46,1248843,58,121542,37,100509,34,22842,78,978351,99,5045,31,3,0,4051420,4092343.434343435,0
2021-06-25,2582713,46,1214123,56,126722,38,100537,34,22400,76,988675,101,4712,29,4,0,4051207,4011096.0396039607,0
2021-06-26,1854179,58,841585,60,76560,62,66738,42,13520,78,950086,97,1682,33,5,1,2854264,2942540.206185567,0
2021-06-27,1559967,60,656004,60,75058,76,62411,57,11883,66,900039,97,1436,37,6,1,2366759,2439957.7319587627,0
2021-06-28,2252362,40,1152019,54,122263,37,101482,34,20503,70,924740,94,4564,28,0,0,3653193,3886375.5319148935,0
2021-06-29,2343739,42,1169268,54,119355,36,97829,33,21612,74,930011,95,4717,29,1,0,3756520,3954231.5789473685,0
2021-06-30,2346388,42,1139886,53,119358,36,99455,34,23001,79,945822,96,4476,28,2,0,3732564,3888087.5,0
2021-07-01,2292461,43,1104516,53,114363,36,90018,32,22011,78,933638,97,4598,33,3,0,3627967,3740172.164948453,0
2021-07-02,2296044,43,1121116,54,116542,37,94252,33,21489,76,920188,96,4258,31,4,0,3653701,3805938.5416666665,0
2021-07-03,1541988,55,738089,55,63827,50,57381,37,12676,80,777262,84,1768,35,5,1,2415729,2875867.8571428573,0
2021-07-04,1468510,63,615001,56,70165,67,63948,60,12816,78,773629,87,1815,51,6,1,2232255,2565810.3448275863,0
2021-07-05,1495709,64,770321,70,78370,75,59711,56,10303,62,838087,95,2005,56,0,0,2416419,2543598.947368421,0
2021-07-06,2302002,44,1181416,57,127893,40,100494,35,22648,80,903777,94,4690,34,1,0,3739143,3977811.702127659,0
2021-07-07,2437064,46,1234617,60,122603,39,99137,35,23637,83,926634,96,5028,36,2,0,3922086,4085506.25,0
2021-07-08,2364250,45,1164513,56,116274,37,93197,33,22941,81,897858,93,4785,35,3,0,3765960,4049419.35483871,0
2021-07-09,2318387,44,1115969,54,109420,35,88347,31,20632,73,888932,92,4325,31,4,0,3657080,3975086.9565217393,0
2021-07-10,1781717,63,855908,63,72964,57,64429,42,14518,91,925950,100,2204,43,5,1,2791740,2791740.0,0
2021-07-11,1365854,58,635511,58,62559,60,53178,50,11725,71,830775,94,1549,43,6,1,2130376,2266357.4468085105,0
2021-07-12,2245412,43,1171521,57,120503,38,99023,35,20623,73,866231,90,4563,33,0,0,3661645,4068494.4444444445,0
2021-07-13,2457526,47,1239045,60,123373,39,105314,37,22286,79,895705,93,5117,37,1,0,3952661,4250173.11827957,0
2021-07-14,2517615,48,1260044,61,120455,38,101843,36,23662,83,919213,96,5018,36,2,0,4028637,4196496.875,0
2021-07-15,2581582,49,1275846,62,125587,40,105171,37,23772,84,971048,101,5209,38,3,0,4117167,4076402.97029703,0
2021-07-16,2536569,48,1219118,59,123465,39,104331,37,21730,77,983846,102,4626,34,4,0,4009839,3931214.7058823532,0
2021-07-17,1717480,61,795347,59,73001,57,64513,42,13228,83,897001,97,0,0,5,1,2663569,2745947.4226804124,0
2021-07-18,1405344,60,640618,58,67362,64,56174,53,11313,68,838604,95,0,0,6,1,2180811,2295590.5263157897,0
2021-07-19,2327756,44,1208792,58,126653,40,103403,37,20276,72,897298,93,4717,34,0,0,3791597,4076986.0215053763,0
2021-07-20,2462002,47,1217802,59,125809,40,107009,38,22213,78,924495,96,5015,36,1,0,3939850,4104010.4166666665,0
2021-07-21,2504568,47,1225595,59,121530,38,104862,37,22865,81,914902,95,4934,36,2,0,3984354,4194056.842105263,0
2021-07-22,2582151,49,1279778,62,127275,40,102275,36,23122,82,963493,100,5187,38,3,0,4119788,4119787.9999999995,0
2021-07-23,2552330,48,1219255,59,130474,41,101070,36,22314,79,985198,102,4713,34,4,0,4030156,3951133.3333333335,0
2021-07-24,1852402,66,856250,63,84852,66,68579,44,14042,88,950568,103,0,0,5,1,2876125,2792354.3689320385,0
2021-07-25,1364830,58,625645,57,66417,63,53090,50,11419,69,864361,98,0,0,6,1,2121401,2164694.897959184,0
2021-07-26,2318455,44,1219135,59,129875,41,101260,36,19910,70,907205,94,4714,34,0,0,3793349,4035477.659574468,0
2021-07-27,2487947,47,1267804,61,128262,41,102950,36,22609,80,918908,96,5132,37,1,0,4014704,4181983.3333333335,0
2021-07-28,2534756,48,1276296,62,126767,40,99976,35,23145,82,932094,97,5004,36,2,0,4065944,4191694.8453608244,0
2021-07-29,2428764,46,1186642,57,120318,38,94716,33,22164,78,918380,96,4743,34,3,0,3857347,4018069.7916666665,0
2021-07-30,2557677,48,1235623,60,131905,42,103531,37,22127,78,988596,103,4812,35,4,0,4055675,3937548.543689321,0
2021-07-31,1841007,65,857333,64,85371,67,67121,43,13932,88,953445,103,0,0,5,1,2864764,2781324.2718446604,0
2021-08-01,1351294,57,629963,57,66030,63,51978,50,11627,65,869092,94,0,0,6,1,2110892,2245629.787234043,0
2021-08-02,2333923,45,1208484,60,126151,40,102349,38,19824,71,903514,93,4799,36,0,0,3795530,4081215.053763441,0
2021-08-03,2483802,48,1262043,63,123949,40,103249,38,22828,82,904753,93,5262,39,1,0,4001133,4302293.548387097,0
2021-08-04,2529002,49,1257876,62,123700,40,99332,36,23611,85,921068,95,5016,37,2,0,4038537,4251091.578947369,0
2021-08-05,2529190,49,1259332,62,119999,38,98290,36,22610,81,956306,98,5097,38,3,0,4034518,4116855.1020408166,0
2021-08-06,2519444,49,1222343,61,123238,39,101218,37,22179,79,979833,101,4500,34,4,0,3992922,3953388.1188118807,0
2021-08-07,1780458,61,836715,61,76835,58,67267,44,14108,85,923751,96,0,0,5,1,2775383,2891023.958333333,0
2021-08-08,1333885,56,598574,54,61066,59,54265,52,11934,66,843489,92,0,0,6,1,2059724,2238830.434782609,0
2021-08-09,2289434,45,1183050,59,109865,35,95599,35,20540,74,891525,92,4845,36,0,0,3703333,4025361.9565217393,0
2021-08-10,2442194,48,1245670,62,122544,39,95330,35,23079,83,905508,93,5037,38,1,0,3933854,4229950.537634409,0
2021-08-11,2475949,48,1246306,62,119708,38,94737,35,23338,84,931264,96,4928,37,2,0,3964966,4130172.9166666665,0
2021-08-12,2448589,48,1223666,61,119717,38,90818,33,22427,80,965578,99,4764,36,3,0,3909981,3949475.757575758,0
2021-08-13,2430102,47,1189426,59,123849,40,91861,34,21336,76,973883,100,4522,34,4,0,3861096,3861096.0,0
2021-08-14,1718222,58,811826,59,75664,57,57650,38,13157,79,904780,94,0,0,5,1,2676519,2847360.638297872,0
2021-08-15,1430620,60,661705,60,72983,70,54362,52,12395,69,918288,100,0,0,6,1,2232065,2232065.0,0
2021-08-16,2287627,45,1170216,58,123942,40,100258,37,20087,72,910779,94,4769,36,0,0,3706899,3943509.5744680855,0
2021-08-17,2427611,47,1209633,60,120737,39,103616,38,22245,80,909180,94,5081,38,1,0,3888923,4137152.1276595746,0
2021-08-18,2445638,48,1210760,60,117216,37,97853,36,22715,81,917872,94,4878,36,2,0,3899060,4147936.1702127657,0
2021-08-19,2439624,47,1194375,59,117409,38,93036,34,21838,78,939085,97,4871,36,3,0,3871153,3990879.381443299,0
2021-08-20,2456334,48,1183308,59,124627,40,99533,36,21451,77,969814,100,4590,34,4,0,3889843,3889843.0,0
2021-08-21,1715030,58,822340,60,72843,55,61997,41,13046,78,941331,98,1409,30,5,1,2686665,2741494.897959184,0
2021-08-22,745240,31,369246,33,27528,26,16121,16,7979,44,489334,53,560,16,6,1,1166674,2201271.6981132072,0
2021-08-23,2052669,40,1032792,51,110003,35,84223,31,18809,67,821654,85,4062,30,0,0,3302558,3885362.3529411764,0
2021-08-24,2462365,48,1234884,61,130591,42,98325,36,22679,81,942935,97,5041,38,1,0,3953885,4076170.1030927836,0
2021-08-25,2498255,49,1236342,61,127392,41,93307,34,23351,84,957036,98,5165,39,2,0,3983812,4065114.2857142854,0
2021-08-26,2480137,48,1222996,61,122067,39,91039,33,22068,79,950534,98,4995,37,3,0,3943302,4023777.551020408,0
2021-08-27,2388210,46,1147249,57,119665,38,90532,33,21211,76,973335,100,4392,33,4,0,3771259,3771258.9999999995,0
2021-08-28,1659434,56,776489,56,68988,52,56208,37,12760,77,890293,93,1661,35,5,1,2575540,2769397.8494623653,0
2021-08-29,1398566,59,630281,57,68832,66,54068,52,11558,64,890505,97,2076,58,6,1,2165381,2232351.5463917525,0
2021-08-30,2321000,45,1182908,59,131574,42,97092,36,19224,69,911105,94,4695,35,0,0,3756493,3996269.14893617,0
2021-08-31,2532584,49,1246463,62,133641,43,99949,37,22724,81,936181,96,5390,40,1,0,4040751,4209115.625,0
2021-09-01,2294448,40,1086148,47,118437,36,90598,31,20878,70,811053,85,4551,27,2,0,3615060,4253011.764705882,0
2021-09-02,1661558,29,1188941,51,105647,32,37898,13,21179,71,851145,89,2620,15,3,0,3017843,3390834.8314606743,0
2021-09-03,2390392,41,1221668,53,139807,43,97937,34,22585,76,1014806,107,4450,26,4,0,3876839,3623214.0186915887,0
2021-09-04,1777639,55,834456,59,84764,72,57137,37,13382,78,927358,97,2104,51,5,1,2769482,2855136.0824742266,0
2021-09-05,1415352,56,618622,56,71004,72,45169,43,11931,69,832200,94,1541,53,6,1,2163619,2301722.3404255323,0
2021-09-06,1521388,60,733947,67,77906,79,51338,49,10077,59,812884,92,1966,67,0,0,2396622,2605023.9130434785,0
2021-09-07,2233674,39,1102372,47,137623,42,113742,39,21143,71,902400,95,4795,28,1,0,3613349,3803525.2631578953,0
2021-09-08,2529619,44,1192895,51,135722,41,110925,38,22354,75,896020,94,5228,31,2,0,3996743,4251854.255319149,0
2021-09-09,2702713,47,1249341,54,139547,43,111708,39,23653,80,911040,96,5378,31,3,0,4232340,4408687.5,0
2021-09-10,2840443,49,1322430,57,150895,46,113495,39,23037,78,995486,105,5377,31,4,0,4455677,4243501.904761905,0
2021-09-11,1983091,62,870791,62,82235,69,65329,43,13070,76,917704,96,2182,53,5,1,3016698,3142393.75,0
2021-09-12,1589976,62,694561,63,77028,78,58979,56,12239,71,899864,102,1679,57,6,1,2434462,2386727.4509803923,0
2021-09-13,2852796,49,1441516,62,147829,45,122504,42,21898,74,914827,96,6133,36,0,0,4592676,4784037.5,0
2021-09-14,3011275,52,1511145,65,144904,44,120532,42,23132,78,908024,95,6672,39,1,0,4817660,5071221.052631578,0
2021-09-15,2987334,52,1503627,65,139927,43,116413,40,23966,81,904733,95,6410,38,2,0,4777677,5029133.684210527,0
2021-09-16,2534545,44,1210069,52,127995,39,107680,37,20826,70,864413,91,5308,31,3,0,4006423,4402662.637362638,0
2021-09-17,3028545,52,1456201,63,142120,43,119349,41,23282,78,982085,103,6131,36,4,0,4775628,4636532.038834952,0
2021-09-18,2014848,63,871175,62,77267,65,76288,50,14054,82,949178,99,2582,62,5,1,3056214,3087084.8484848486,0
2021-09-19,1596823,63,674024,61,69397,70,64139,61,12612,73,914623,103,1897,65,6,1,2418892,2348438.834951456,0
2021-09-20,2883211,50,1481676,64,148068,45,122101,42,21889,74,895109,94,6548,38,0,0,4663493,4961162.765957447,0
2021-09-21,3018312,52,1505803,65,142672,44,123923,43,22399,75,860050,90,6998,41,1,0,4820107,5355674.444444444,0
2021-09-22,3021113,52,1506211,65,139853,43,120056,42,23157,78,872883,92,6812,40,2,0,4817202,5236089.130434782,0
2021-09-23,3016106,52,1483075,64,140127,43,115473,40,23031,78,915198,96,6724,39,3,0,4784536,4983891.666666666,0
2021-09-24,3121747,54,1469705,63,142827,44,116730,40,21941,74,986694,104,6294,37,4,0,4879244,4691580.76923077,0
2021-09-25,2129492,66,872490,62,88460,75,81282,53,13909,81,953628,100,2719,66,5,1,3188352,3188352.0,0
2021-09-26,1614677,63,657257,60,80069,81,64937,62,12034,70,895286,101,2238,77,6,1,2431212,2407140.594059406,0
2021-09-27,2873368,50,1489441,64,146154,45,121534,42,21209,71,881116,93,6715,39,0,0,4658421,5009054.838709678,0
2021-09-28,2927715,51,1457421,63,141188,43,118253,41,21727,73,831192,87,6827,40,1,0,4673131,5371414.942528736,0
2021-09-29,3063720,53,1513184,65,137483,42,120032,42,23323,79,886785,93,6789,40,2,0,4864531,5230678.494623655,0
2021-09-30,3146861,55,1516081,65,144838,44,121842,42,23555,79,953501,100,7104,42,3,0,4960281,4960281.0,0
2021-10-01,3162881,55,1492942,66,140003,45,116182,40,23098,78,985786,106,6325,35,4,0,4941431,4661727.358490566,0
2021-10-02,2063660,62,883902,63,86563,76,80946,53,14145,80,923455,98,2562,56,5,1,3131778,3195691.836734694,0
2021-10-03,1575738,64,673253,67,74851,82,66758,63,12936,70,887540,105,1904,50,6,1,2405440,2290895.2380952383,0
2021-10-04,2864349,50,1419155,63,152598,49,121256,42,21794,73,871945,94,6591,37,0,0,4585743,4878450.0,0
2021-10-05,3091160,54,1499767,67,150226,48,124670,43,23644,79,887129,96,7027,39,1,0,4896494,5100514.583333334,0
2021-10-06,3140986,55,1532668,68,149640,48,123097,42,24677,83,913993,98,6972,39,2,0,4978040,5079632.653061225,0
2021-10-07,3190747,56,1523168,68,150072,48,121407,42,24571,83,951212,102,7298,41,3,0,5017263,4918885.294117647,0
2021-10-08,3168473,55,1473912,65,153755,49,123609,43,23356,78,1001210,108,6660,37,4,0,4949765,4583115.740740741,0
2021-10-09,2052699,62,856308,62,84631,75,81969,54,13634,77,919384,97,47,1,5,1,3089288,3184832.9896907215,0
2021-10-10,1499385,61,601821,60,65636,72,59049,56,11794,64,806025,95,166,4,6,1,2237851,2355632.6315789474,0
2021-10-11,2263615,39,1045865,46,131714,42,114458,39,16917,57,878443,95,3883,22,0,0,3576452,3764686.3157894737,0
2021-10-12,3102879,54,1514608,67,154602,49,128194,44,23848,80,910639,98,7292,41,1,0,4931423,5032064.285714285,0
2021-10-13,3157457,55,1511356,67,151319,48,124790,43,24396,82,907632,98,7198,40,2,0,4976516,5078077.551020408,0
2021-10-14,3240686,56,1527543,68,154572,49,126815,44,24144,81,952876,103,7386,41,3,0,5081146,4933151.456310679,0
2021-10-15,3227068,56,1491099,66,150932,48,124654,43,23251,78,990940,107,6786,38,4,0,5023790,4695130.841121495,0
2021-10-16,2042027,61,856990,62,83415,74,74913,49,13307,75,896392,95,2369,52,5,1,3073021,3234758.947368421,0
2021-10-17,1629991,66,663944,66,74826,82,69729,66,12564,68,891527,106,1853,49,6,1,2452907,2314063.2075471696,0
2021-10-18,2982883,52,1461843,65,153681,49,127381,44,21454,72,889996,96,6810,38,0,0,4754052,4952137.5,0
2021-10-19,3178208,55,1510722,67,153382,49,129993,45,23403,79,899389,97,7250,41,1,0,5002958,5157688.659793815,0
2021-10-20,3234327,56,1525608,68,155242,49,131127,45,24474,82,916246,99,7148,40,2,0,5077926,5129218.181818182,0
2021-10-21,3267697,57,1476434,65,149850,48,127259,44,24007,81,948652,102,7498,42,3,0,5052745,4953671.568627451,0
2021-10-22,3225816,56,1471199,65,145810,46,126554,44,22843,77,986548,106,6297,35,4,0,4998519,4715583.96226415,0
2021-10-23,2077488,62,847596,61,74720,66,82865,54,13556,77,914737,97,2243,49,5,1,3098468,3194296.907216495,0
2021-10-24,1599927,65,659283,66,69611,76,68154,65,12314,67,883371,105,1908,51,6,1,2411197,2296378.095238095,0
2021-10-25,2994936,52,1461023,65,158330,50,125755,43,21724,73,883887,95,7026,39,0,0,4768794,5019783.157894737,0
2021-10-26,2702635,47,1233660,55,130109,41,104517,36,21220,71,738636,80,5278,30,1,0,4197419,5246773.75,0
2021-10-27,3300580,57,1503535,67,155865,50,129881,45,24144,81,914494,99,7054,40,2,0,5121059,5172786.868686869,0
2021-10-28,3365971,59,1515489,67,159574,51,132170,45,24814,83,959835,103,7605,43,3,0,5205623,5054002.912621359,0
2021-10-29,3251779,57,1426938,63,153317,49,122632,42,22477,75,963442,104,6597,37,4,0,4983740,4792057.692307692,0
2021-10-30,2044310,61,819620,59,76471,67,69281,45,12642,72,854656,90,2177,48,5,1,3024501,3360556.6666666665,0
2021-10-31,1746769,71,656203,66,68674,75,66300,63,12233,67,824978,98,1910,51,6,1,2552089,2604172.448979592,0
2021-11-01,3034306,54,1448304,66,158356,48,131251,46,21387,69,898451,95,6783,40,0,0,4800387,5053038.947368422,0
2021-11-02,2848222,51,1258180,57,147832,45,129297,45,22016,71,853432,90,5679,33,1,0,4411226,4901362.222222222,0
2021-11-03,3293732,58,1507287,69,154203,47,130954,46,23349,75,901230,96,7371,43,2,0,5116896,5330100.0,0
2021-11-04,3284315,58,1486942,68,151353,46,126533,44,24009,77,931012,99,7210,42,3,0,5080362,5131678.787878788,0
2021-11-05,3293438,58,1457014,67,150227,46,121824,43,23009,74,966007,102,6769,40,4,0,5052281,4953216.666666666,0
2021-11-06,2195864,69,864499,66,84943,74,80784,53,13672,81,910587,100,2410,70,5,1,3242172,3242172.0,0
2021-11-07,1888985,75,614513,62,81181,86,72175,69,10647,57,780686,95,2978,97,6,1,2670479,2811030.526315789,0
2021-11-08,3065533,54,1461178,67,159723,49,131127,46,22136,71,889544,94,6921,41,0,0,4846618,5155976.595744681,0
2021-11-09,3279457,58,1518264,69,157181,48,134070,47,24504,78,898518,95,7677,45,1,0,5121153,5390687.368421053,0
2021-11-10,3351992,59,1514453,69,159254,48,134400,47,24608,79,926005,98,7445,44,2,0,5192152,5298114.285714285,0
2021-11-11,2922235,116,1198235,120,143386,152,122940,118,19846,105,895643,109,5493,179,3,0,4412135,4047830.275229358,0
2021-11-12,3158682,56,1350608,62,141671,43,117650,41,21598,69,919941,98,6082,36,4,0,4796291,4894174.489795919,0
2021-11-13,2169863,69,815114,62,80829,70,74296,49,13124,77,869112,96,2286,66,5,1,3155512,3286991.6666666665,0
2021-11-14,1703136,68,657129,66,72488,77,62856,60,12460,66,858311,104,1772,58,6,1,2509841,2413308.653846154,0
2021-11-15,3110969,55,1437414,66,160952,49,132234,46,22208,71,890524,94,6792,40,0,0,4870569,5181456.382978723,0
2021-11-16,3340844,59,1492110,68,161362,49,137235,48,23694,76,902386,96,7472,44,1,0,5162717,5377830.208333334,0
2021-11-17,3369069,60,1501740,69,158372,48,131113,46,24396,78,915266,97,7453,44,2,0,5192143,5352724.742268041,0
2021-11-18,3412249,61,1505488,69,157433,48,132632,46,24071,77,959226,102,7511,44,3,0,5239384,5136650.980392156,0
2021-11-19,3316999,59,1429787,65,151795,46,127093,44,22662,73,987149,105,6842,40,4,0,5055178,4814455.238095238,0
2021-11-20,2135731,68,861772,65,94412,82,82894,55,13195,78,915131,101,2367,68,5,1,3190371,3158783.1683168313,0
2021-11-21,1674206,66,674551,68,80467,85,66859,64,12774,68,841901,102,1827,60,6,1,2510684,2461454.901960784,0
2021-11-22,3130363,56,1418226,65,156874,48,127776,45,21441,69,901942,96,6896,41,0,0,4861576,5064141.666666666,0
2021-11-23,3286591,58,1424890,65,162241,49,136562,48,22574,72,989345,105,7194,42,1,0,5040052,4800049.523809524,0
2021-11-24,3085289,55,1343391,61,165349,50,139391,49,21002,67,992568,105,6589,39,2,0,4761011,4534296.19047619,0
2021-11-25,1357198,54,509782,51,125417,133,69945,67,15459,82,861084,105,1990,65,3,0,2079791,1980753.3333333333,0
2021-11-26,2089772,83,843588,85,128452,136,108747,104,11077,59,789915,96,3205,104,4,0,3184841,3317542.7083333335,0
2021-11-27,1880422,60,750986,57,83676,73,76112,50,10620,63,850980,94,2216,64,5,1,2804032,2983012.765957447,0
2021-11-28,1465745,58,592081,59,75197,80,65128,63,10481,56,825585,100,1669,54,6,1,2210301,2210301.0,0
2021-11-29,2996015,53,1381661,63,166154,51,132498,46,21124,68,900399,95,6692,39,0,0,4704144,4951730.52631579,0
2021-11-30,3207209,57,1432539,65,166738,51,136630,48,22469,72,897216,95,7124,42,1,0,4972709,5234430.52631579,0
2021-12-01,3326469,62,1463384,73,163163,52,136126,49,23347,80,899319,102,7266,47,2,0,5119755,5019367.647058824,0
2021-12-02,3358843,63,1449142,72,154723,49,127508,46,22540,77,923179,104,7290,47,3,0,5120046,4923121.153846154,0
2021-12-03,3374097,63,1419078,71,144500,46,119424,43,22518,77,940827,106,6442,41,4,0,5086059,4798168.867924528,0
2021-12-04,2318147,70,864764,68,91477,71,81392,52,13317,77,864918,98,56,1,5,1,3369153,3437911.224489796,0
2021-12-05,1737352,68,665129,68,72716,68,60526,56,12541,70,818544,103,193,6,6,1,2548457,2474230.0970873786,0
2021-12-06,3135869,59,1394230,70,154970,49,127260,46,21761,75,865595,98,6687,43,0,0,4840777,4939568.367346939,0
2021-12-07,3367790,63,1453136,73,153749,49,131033,47,23262,80,883027,100,7367,47,1,0,5136337,5136337.0,0
2021-12-08,3378727,63,1430106,71,156218,49,130222,47,22691,78,889409,100,6948,45,2,0,5124912,5124912.0,0
2021-12-09,3433600,64,1436883,72,154367,49,126159,45,22743,78,927903,105,7222,46,3,0,5180974,4934260.952380952,0
2021-12-10,3417451,64,1404176,70,152524,48,127711,46,22237,76,962125,109,6331,41,4,0,5130430,4706816.513761467,0
2021-12-11,2266265,68,786137,62,91894,72,81068,52,13396,78,863814,98,2291,46,5,1,3241051,3307194.8979591834,0
2021-12-12,1829872,72,627007,64,80874,76,66471,62,12189,68,828121,104,1833,54,6,1,2618246,2517544.230769231,0
2021-12-13,3120850,58,1333718,67,153387,49,129698,46,21617,74,874293,99,6769,43,0,0,4766039,4814180.808080807,0
2021-12-14,3274170,61,1378221,69,154939,49,131812,47,23042,79,894669,101,7124,46,1,0,4969308,4920106.9306930695,0
2021-12-15,3242168,61,1436154,72,153128,48,129761,47,23732,81,921048,104,6908,44,2,0,4991851,4799856.73076923,0
2021-12-16,3219799,60,1438193,72,152710,48,126131,45,23623,81,948535,107,7043,45,3,0,4967499,4642522.4299065415,0
2021-12-17,3112088,58,1375383,69,146111,46,121037,43,22539,77,968689,109,6404,41,4,0,4783562,4388588.9908256885,0
2021-12-18,1880969,57,786073,62,74306,58,66097,42,12312,71,832994,94,1987,40,5,1,2821744,3001855.3191489363,0
2021-12-19,1579809,62,636393,65,65698,62,56292,52,12238,69,784051,98,1694,50,6,1,2352124,2400126.5306122447,0
2021-12-20,2716451,51,1277654,64,132078,42,102695,37,20318,70,856849,97,5979,38,0,0,4255175,4386778.350515464,0
