date,subways_total_estimated_ridership,subways_%_of_comparable_pre_pandemic_day,buses_total_estimated_ridership,buses_%_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_%_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_%_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_%_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_%_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_%_of_comparable_pre_pandemic_day,weekday,is_weekend,total_ridership,pct_change_vs_2019,outlier
2021-03-27,1374266,45,781981,59,47484,44,38301,28,12900,76,841595,97,0,0,5,1,2254932,2324672.164948453,0
2021-03-28,807247,35,459949,46,28347,33,21000,22,9104,52,601860,75,0,0,6,1,1325647,1767529.3333333335,0
2021-03-29,1742162,31,1002597,45,86467,28,44240,16,18543,62,763647,83,3378,21,0,0,2897387,3490827.7108433736,0
2021-03-30,1881537,34,1079381,48,91258,29,46574,17,21019,71,842154,91,3806,24,1,0,3123575,3432500.0,0
2021-03-31,1808546,32,995873,44,84850,27,43954,16,20374,69,833052,90,3526,22,2,0,2957123,3285692.2222222225,0
2021-04-01,1841815,33,1030209,47,77285,25,38466,13,20490,71,856466,91,3434,21,3,0,3011699,3309559.3406593404,0
2021-04-02,1757698,32,958085,44,79770,26,49308,17,18839,65,845252,90,3070,19,4,0,2866770,3185300.0,0
2021-04-03,1318461,42,750682,56,47662,42,37706,25,12735,76,779701,85,1503,29,5,1,2168749,2551469.4117647056,0
2021-04-04,950194,39,519812,52,40868,45,30673,30,11632,62,749910,87,1066,33,6,1,1554245,1786488.5057471264,0
2021-04-05,1818703,33,1088750,50,87048,28,46156,16,19970,69,832239,88,3431,21,0,0,3064058,3481884.0909090913,0
2021-04-06,1942198,35,1155101,53,85757,28,45178,16,21695,75,840351,89,3873,24,1,0,3253802,3655957.3033707864,0
2021-04-07,1985370,36,1172362,54,85479,28,45747,16,23469,81,858593,91,3809,23,2,0,3316236,3644215.3846153845,0
2021-04-08,2013413,36,1177833,54,86715,28,47059,16,22579,78,877834,93,3893,24,3,0,3351492,3603754.838709677,0
2021-04-09,2026724,36,1144311,52,87051,28,52445,18,21978,76,895229,95,3686,23,4,0,3336195,3511784.210526316,0
2021-04-10,1391245,44,790023,59,45962,40,36629,25,12713,76,822112,90,1500,29,5,1,2278072,2531191.111111111,0
2021-04-11,899646,37,504407,51,32034,35,22933,22,9742,52,666435,77,1020,31,6,1,1469782,1908807.7922077922,0
2021-04-12,1845836,33,1087799,50,83124,27,43563,15,21192,73,793402,84,3418,21,0,0,3084932,3672538.0952380956,0
2021-04-13,2012153,36,1196355,55,87182,28,46150,16,22728,79,832482,88,3877,24,1,0,3368445,3827778.4090909087,0
2021-04-14,2018126,36,1199954,55,86698,28,47970,17,23462,81,852606,91,3810,23,2,0,3380020,3714307.692307692,0
2021-04-15,1906733,34,1083083,50,81762,26,44175,15,21198,73,822207,87,3593,22,3,0,3140544,3609820.6896551726,0
2021-04-16,2078856,37,1157507,53,87190,28,54355,19,21632,75,889711,95,3591,22,4,0,3403131,3582243.157894737,0
2021-04-17,1425036,45,803352,60,49901,44,39789,27,13313,80,813162,89,0,0,5,1,2331391,2619540.449438202,0
2021-04-18,1082503,45,607333,61,38263,42,30983,30,10865,58,753446,87,0,0,6,1,1769947,2034421.83908046,0
2021-04-19,1911326,34,1147977,53,87167,28,45925,16,21274,74,816540,87,3634,22,0,0,3217303,3698049.425287356,0
2021-04-20,2082495,37,1223642,56,90034,29,49100,17,23528,81,860511,91,4135,25,1,0,3472934,3816410.9890109887,0
2021-04-21,1965922,35,1139762,52,83533,27,45253,16,22379,77,828447,88,3788,23,2,0,3260637,3705269.3181818184,0
2021-04-22,2040232,37,1166357,53,86606,28,46790,16,21832,75,871573,93,3837,24,3,0,3365654,3618982.795698925,0
