date,service,total_ridership,avg_ridership,stdev_ridership,is_outlier
2020-05-04,subway,511866,2509054.9794841735,1062183.680628766,False
2020-05-05,subway,522085,2509054.9794841735,1062183.680628766,False
2020-05-06,subway,508824,2509054.9794841735,1062183.680628766,False
2020-05-07,subway,535073,2509054.9794841735,1062183.680628766,False
2020-05-08,subway,526054,2509054.9794841735,1062183.680628766,False
2020-05-09,subway,316883,2509054.9794841735,1062183.680628766,False
2020-05-10,subway,271947,2509054.9794841735,1062183.680628766,False
2020-05-11,subway,520873,2509054.9794841735,1062183.680628766,False
2020-05-12,subway,553372,2509054.9794841735,1062183.680628766,False
2020-05-13,subway,565377,2509054.9794841735,1062183.680628766,False
2020-05-14,subway,567392,2509054.9794841735,1062183.680628766,False
2020-05-15,subway,587808,2509054.9794841735,1062183.680628766,False
2020-05-16,subway,360844,2509054.9794841735,1062183.680628766,False
2020-05-17,subway,287418,2509054.9794841735,1062183.680628766,False
2020-05-18,subway,595469,2509054.9794841735,1062183.680628766,False
2020-05-19,subway,610884,2509054.9794841735,1062183.680628766,False
2020-05-20,subway,623749,2509054.9794841735,1062183.680628766,False
2020-05-21,subway,629298,2509054.9794841735,1062183.680628766,False
2020-05-22,subway,633883,2509054.9794841735,1062183.680628766,False
2020-05-23,subway,335830,2509054.9794841735,1062183.680628766,False
2020-05-24,subway,320015,2509054.9794841735,1062183.680628766,False
2020-05-25,subway,393918,2509054.9794841735,1062183.680628766,False
2020-05-26,subway,656766,2509054.9794841735,1062183.680628766,False
2020-05-27,subway,674465,2509054.9794841735,1062183.680628766,False
2020-05-28,subway,658057,2509054.9794841735,1062183.680628766,False
2020-05-29,subway,657259,2509054.9794841735,1062183.680628766,False
2020-05-30,subway,426737,2509054.9794841735,1062183.680628766,False
2020-05-31,subway,344426,2509054.9794841735,1062183.680628766,False
2020-06-01,subway,687162,2509054.9794841735,1062183.680628766,False
2020-06-02,subway,693760,2509054.9794841735,1062183.680628766,False
2020-06-03,subway,681714,2509054.9794841735,1062183.680628766,False
2020-06-04,subway,726672,2509054.9794841735,1062183.680628766,False
2020-06-05,subway,703576,2509054.9794841735,1062183.680628766,False
2020-06-06,subway,464198,2509054.9794841735,1062183.680628766,False
2020-06-07,subway,377990,2509054.9794841735,1062183.680628766,False
2020-06-08,subway,804542,2509054.9794841735,1062183.680628766,False
2020-06-09,subway,842306,2509054.9794841735,1062183.680628766,False
2020-06-10,subway,857015,2509054.9794841735,1062183.680628766,False
2020-06-11,subway,818297,2509054.9794841735,1062183.680628766,False
2020-06-12,subway,896658,2509054.9794841735,1062183.680628766,False
2020-06-13,subway,545316,2509054.9794841735,1062183.680628766,False
2020-06-14,subway,430439,2509054.9794841735,1062183.680628766,False
2020-06-15,subway,897112,2509054.9794841735,1062183.680628766,False
2020-06-16,subway,932671,2509054.9794841735,1062183.680628766,False
2020-06-17,subway,948461,2509054.9794841735,1062183.680628766,False
2020-06-18,subway,942382,2509054.9794841735,1062183.680628766,False
2020-06-19,subway,986929,2509054.9794841735,1062183.680628766,False
2020-06-20,subway,576075,2509054.9794841735,1062183.680628766,False
2020-06-21,subway,449497,2509054.9794841735,1062183.680628766,False
2020-06-22,subway,1000046,2509054.9794841735,1062183.680628766,False
2020-06-23,subway,1050786,2509054.9794841735,1062183.680628766,False
2020-06-24,subway,1068333,2509054.9794841735,1062183.680628766,False
2020-06-25,subway,1078796,2509054.9794841735,1062183.680628766,False
2020-06-26,subway,1102382,2509054.9794841735,1062183.680628766,False
2020-06-27,subway,615398,2509054.9794841735,1062183.680628766,False
2020-06-28,subway,535898,2509054.9794841735,1062183.680628766,False
2020-06-29,subway,1100769,2509054.9794841735,1062183.680628766,False
2020-06-30,subway,1113124,2509054.9794841735,1062183.680628766,False
2020-07-01,subway,1120537,2509054.9794841735,1062183.680628766,False
2020-07-02,subway,1170483,2509054.9794841735,1062183.680628766,False
2020-07-03,subway,851877,2509054.9794841735,1062183.680628766,False
2020-07-04,subway,591605,2509054.9794841735,1062183.680628766,False
2020-07-05,subway,533692,2509054.9794841735,1062183.680628766,False
2020-07-06,subway,1084956,2509054.9794841735,1062183.680628766,False
2020-07-07,subway,1157185,2509054.9794841735,1062183.680628766,False
2020-07-08,subway,1172279,2509054.9794841735,1062183.680628766,False
2020-07-09,subway,1211280,2509054.9794841735,1062183.680628766,False
2020-07-10,subway,1030632,2509054.9794841735,1062183.680628766,False
2020-07-11,subway,692977,2509054.9794841735,1062183.680628766,False
2020-07-12,subway,628187,2509054.9794841735,1062183.680628766,False
2020-07-13,subway,1175700,2509054.9794841735,1062183.680628766,False
2020-07-14,subway,1241080,2509054.9794841735,1062183.680628766,False
2020-07-15,subway,1248413,2509054.9794841735,1062183.680628766,False
2020-07-16,subway,1249128,2509054.9794841735,1062183.680628766,False
2020-07-17,subway,1207265,2509054.9794841735,1062183.680628766,False
2020-07-18,subway,778936,2509054.9794841735,1062183.680628766,False
2020-07-19,subway,584994,2509054.9794841735,1062183.680628766,False
2020-07-20,subway,1156735,2509054.9794841735,1062183.680628766,False
2020-07-21,subway,1241819,2509054.9794841735,1062183.680628766,False
2020-07-22,subway,1233668,2509054.9794841735,1062183.680628766,False
2020-07-23,subway,1233795,2509054.9794841735,1062183.680628766,False
2020-07-24,subway,1218138,2509054.9794841735,1062183.680628766,False
2020-07-25,subway,816604,2509054.9794841735,1062183.680628766,False
2020-07-26,subway,606910,2509054.9794841735,1062183.680628766,False
2020-07-27,subway,1203503,2509054.9794841735,1062183.680628766,False
2020-07-28,subway,1241770,2509054.9794841735,1062183.680628766,False
2020-07-29,subway,1296102,2509054.9794841735,1062183.680628766,False
2020-07-30,subway,1270172,2509054.9794841735,1062183.680628766,False
2020-07-31,subway,1258539,2509054.9794841735,1062183.680628766,False
2020-08-01,subway,842468,2509054.9794841735,1062183.680628766,False
2020-08-02,subway,590060,2509054.9794841735,1062183.680628766,False
2020-08-03,subway,1272996,2509054.9794841735,1062183.680628766,False
2020-08-04,subway,1027187,2509054.9794841735,1062183.680628766,False
2020-08-05,subway,1348202,2509054.9794841735,1062183.680628766,False
2020-08-06,subway,1334694,2509054.9794841735,1062183.680628766,False
2020-08-07,subway,1283894,2509054.9794841735,1062183.680628766,False
2020-08-08,subway,833287,2509054.9794841735,1062183.680628766,False
2020-08-09,subway,662993,2509054.9794841735,1062183.680628766,False
2020-08-10,subway,1275268,2509054.9794841735,1062183.680628766,False
2020-08-11,subway,1319814,2509054.9794841735,1062183.680628766,False
2020-08-12,subway,1298963,2509054.9794841735,1062183.680628766,False
2020-08-13,subway,1291277,2509054.9794841735,1062183.680628766,False
2020-08-14,subway,1355786,2509054.9794841735,1062183.680628766,False
2020-08-15,subway,860789,2509054.9794841735,1062183.680628766,False
2020-08-16,subway,554451,2509054.9794841735,1062183.680628766,False
2020-08-17,subway,1304485,2509054.9794841735,1062183.680628766,False
2020-08-18,subway,1369617,2509054.9794841735,1062183.680628766,False
2020-08-19,subway,1292148,2509054.9794841735,1062183.680628766,False
2020-08-20,subway,1410489,2509054.9794841735,1062183.680628766,False
2020-08-21,subway,1387463,2509054.9794841735,1062183.680628766,False
2020-08-22,subway,882522,2509054.9794841735,1062183.680628766,False
2020-08-23,subway,671560,2509054.9794841735,1062183.680628766,False
